"Index" "neutrons" "muons" "gamma" "integration_time.s." "V_in.Volt." "temperature_in..C." "temperature_ext..C." "ur..." "pressure.hPa." "N_jung" "fi" "fp" "Nc" "Nc_SGF" "SM"
"2023-03-23 13:00:00" 623 3439 0 3615 14.1 29.9 0 0 1009.5 153.475 0.999001519444348 1.00566121032919 625.901359073857 652.360717393809 0.233820198614097
"2023-03-23 14:00:00" 647 3571 0 3614 14.1 31.2 0 0 1009.1 153.217 1.0006837243695 1.00260864250376 649.131315351316 654.372506681328 0.231048231658589
"2023-03-23 15:00:00" 657 3319 0 3611 14.4 30.7 0 0 1008.8 151.111 1.01463002823568 1.00032529879982 666.828776611144 656.266257097204 0.228474755494636
"2023-03-23 16:00:00" 655 3441 0 3617 13.3 26.3 0 0 1008.6 148.492 1.03252537642918 0.998805959336163 675.496586938846 658.044236235648 0.226089618778887
"2023-03-23 17:00:00" 615 3591 0 3615 13.1 22.3 0 0 1008.7 147.893 1.03670733703908 0.999565340393509 637.297884175091 659.708711690819 0.223883462309688
"2023-03-23 18:00:00" 682 3255 0 3611 12.8 20.4 0 0 1009.1 148.356 1.03347190674271 1.00260864250376 706.666484260827 661.261951056872 0.221847643162041
"2023-03-23 19:00:00" 662 3508 0 3616 12.6 17.7 0 0 1009.5 147.365 1.04042179755519 1.00566121032919 692.658440848633 662.706221928009 0.219974167121586
"2023-03-23 20:00:00" 665 3334 0 3608 12.9 17.1 0 0 1009.9 148.1 1.03525832678407 1.00872307208041 694.452158260651 664.043791898433 0.218255628354311
"2023-03-23 21:00:00" 625 3238 0 3610 12.8 16.5 0 0 1009.9 148.136 1.03500673838042 1.00872307208041 652.521985476885 665.276928562313 0.216685155399801
"2023-03-23 22:00:00" 616 3239 0 3612 12.7 16.1 0 0 1009.9 149.605 1.02484381001117 1.00872307208041 636.810695405228 666.40789951378 0.215256362703404
"2023-03-23 23:00:00" 641 3304 0 3613 12.7 15.6 0 0 1009.7 150.402 1.01941302773049 1.00719097769756 658.142650213677 667.438972347059 0.21396330701036
"2023-03-24 00:00:00" 658 3279 0 3613 12.5 14.1 0 0 1010 150.908 1.01599489885706 1.00948999300823 674.868937640094 668.372414656317 0.212800448036781
"2023-03-24 01:00:00" 630 3381 0 3615 12.5 13.2 0 0 1010.4 151.15 1.01436823153636 1.01256351196877 647.080723141028 669.210494035739 0.211762612908894
"2023-03-24 02:00:00" 621 3453 0 3616 12.5 12.3 0 0 1010.1 152.158 1.00764835366344 1.01025749701749 632.168252564056 669.955478079494 0.210844963929134
"2023-03-24 03:00:00" 667 3375 0 3617 12.6 11.8 0 0 1009.9 152.453 1.00569853132914 1.00872307208041 676.652365176759 670.609634381763 0.210042969283586
"2023-03-24 04:00:00" 661 3286 0 3618 12.5 11.2 0 0 1010 152.473 1.00556661308377 1.00948999300823 670.987335352629 671.17523053672 0.209352376354187
"2023-03-24 05:00:00" 667 3235 0 3618 12.5 13.6 0 0 1009.9 153.207 1.00074904016606 1.00872307208041 673.32225700061 671.654534138549 0.208769187340464
"2023-03-24 06:00:00" 632 3430 0 3608 12.6 18.5 0 0 1010 153.115 1.00135034579709 1.00948999300823 638.859193060973 672.049812781429 0.208289636931749
"2023-03-24 07:00:00" 683 3445 0 3615 13.1 23.8 0 0 1010.3 153.335 0.999913641352081 1.01179425605395 690.995798268227 672.363334059535 0.207910171801726
"2023-03-24 08:00:00" 666 3293 0 3616 13.5 27 0 0 1010.3 153.504 0.99881278791902 1.01179425605395 673.054965765339 672.597365567049 0.207627431724096
"2023-03-24 09:00:00" 644 3251 0 3617 14 29.7 0 0 1010.1 153.714 0.997448236313682 1.01025749701749 648.945635753067 672.754174898148 0.207438232131576
"2023-03-24 10:00:00" 708 3315 0 3618 14.4 27.3 0 0 1010 154.117 0.994840012436794 1.00948999300823 711.030974336979 672.83602964701 0.207339547960696
"2023-03-24 11:00:00" 657 3393 0 3608 14 28 0 0 1010.3 152.532 1.00517765581466 1.01179425605395 668.190666852849 672.845197407815 0.207328498642726
"2023-03-24 12:00:00" 671 3205 0 3609 14.1 28.1 0 0 1009.3 152.963 1.00234539200147 1.00413376644092 675.354020862992 672.78394577474 0.207402334116566
"2023-03-24 13:00:00" 676 3492 0 3608 13.9 28.8 0 0 1008.8 152.363 1.00629259201198 1.00032529879982 680.475077942276 672.654542341964 0.207558421753138
"2023-03-24 14:00:00" 665 3317 0 3616 14.3 27.5 0 0 1007.9 151.918 1.00924023615846 0.993506420903856 666.786625480541 672.459254703666 0.207794234092846
"2023-03-24 15:00:00" 670 3559 0 3618 14.3 27.4 0 0 1007.4 151.947 1.00904761658158 0.989738260543458 669.124332003453 669.192470848998 0.211784870326251
"2023-03-24 16:00:00" 684 3363 0 3609 12.9 22.8 0 0 1007 151.319 1.01323533856767 0.986734024983119 683.858948173928 669.32600726364 0.211620025948583
"2023-03-24 17:00:00" 651 3452 0 3611 13.3 20.8 0 0 1007.4 149.957 1.02243815358217 0.989738260543458 658.776949925432 669.158799697513 0.211826459155966
"2023-03-24 18:00:00" 652 3562 0 3617 12.7 19.9 0 0 1006.8 150.954 1.01568529616122 0.985235328562973 652.449251784949 667.971230603992 0.213299334262655
"2023-03-24 19:00:00" 660 3223 0 3618 12.8 19.4 0 0 1007.3 151.223 1.01387856474691 0.988986345229456 661.789957128649 667.412457457636 0.213996445931085
"2023-03-24 20:00:00" 716 3438 0 3609 13.1 19 0 0 1007.1 150.709 1.01733644438435 0.987484227883099 719.296244388637 668.621694296281 0.212491139968829
"2023-03-24 21:00:00" 669 3380 0 3609 12.9 18.4 0 0 1006.8 151.132 1.01448904399281 0.985235328562973 668.672488763219 668.746080737345 0.212336994675588
"2023-03-24 22:00:00" 708 3303 0 3612 12.8 17.8 0 0 1007.5 151.031 1.01516747023274 0.990490747530307 711.90390241317 668.878134372685 0.212173489205394
"2023-03-24 23:00:00" 676 3264 0 3610 12.5 17.4 0 0 1007.5 150.719 1.01726894549938 0.990490747530307 681.134543308525 669.53954900469 0.211356726281893
"2023-03-25 00:00:00" 676 3436 0 3612 12.9 16.9 0 0 1007.4 151.475 1.01219183493462 0.989738260543458 677.220170566069 668.576673940596 0.212546963094437
"2023-03-25 01:00:00" 669 3468 0 3612 12.7 15.7 0 0 1007 150.898 1.01606222876858 0.986734024983119 670.728142486888 668.19126434161 0.213025547364535
"2023-03-25 02:00:00" 683 3299 0 3613 13 15.3 0 0 1006.3 151.007 1.01532881387433 0.981498538711754 680.639379289514 668.290582538881 0.212902099419785
"2023-03-25 03:00:00" 644 3302 0 3615 12.4 15 0 0 1005.7 150.959 1.01565165506344 0.977033094326147 639.057479871842 667.544575649354 0.21383138056784
"2023-03-25 04:00:00" 634 3379 0 3615 12.7 14.4 0 0 1005.6 150.335 1.01986735089448 0.976290831270148 631.265649162894 666.537108079566 0.215093827680053
"2023-03-25 05:00:00" 647 3480 0 3616 12.8 17.8 0 0 1006.4 151.054 1.01501289735274 0.982244761129776 645.053242284815 666.801389746101 0.214761824211363
"2023-03-25 06:00:00" 664 3325 0 3616 12.7 23.8 0 0 1006.8 151.327 1.01318177322435 0.985235328562973 662.819724885175 665.451070801448 0.216464438465296
"2023-03-25 07:00:00" 682 3345 0 3619 13.7 27.3 0 0 1006.6 150.309 1.02004376448996 0.983738908430969 684.357496292057 664.989428863827 0.217050121622126
"2023-03-25 08:00:00" 610 3391 0 3610 13.7 28.7 0 0 1006.7 150.593 1.01812008656924 0.98448683417716 611.418750711623 663.174272406493 0.219371009948706
"2023-03-25 09:00:00" 621 3342 0 3609 14.1 29 0 0 1006.8 150.399 1.01943336190215 0.985235328562973 623.721074985528 662.562140729159 0.220160229723206
