neutrons,muons,gamma,integration_time.s.,V_in.Volt.,temperature_in..C.,temperature_ext..C.,ur...,pressure.hPa.,N_jung,fi,fp,Nc,Nc_SGF,SM
623,3439,0,3615,14.1,29.9,0,0,1009.5,153.475,0.9990030921562904,1.0056476240733618,625.893888620934,652.3529311349087,0.23383100428423773
647,3571,0,3614,14.1,31.2,0,0,1009.1,153.217,1.0006852997297078,1.0025950974874418,649.1235676369813,654.3646964106927,0.23105891675404702
657,3319,0,3611,14.4,30.7,0,0,1008.8,151.111,1.0146316255513277,1.0003117846309573,666.8208176685554,656.2584242236894,0.22848532920932005
655,3441,0,3617,13.3,26.3,0,0,1008.6,148.492,1.0325270019171853,0.998792465693231,675.4885245415068,658.0363821410432,0.2261000897456225
615,3591,0,3615,13.1,22.3,0,0,1008.7,147.893,1.0367089691106859,0.9995518364915104,637.290277698811,659.7008377298466,0.22389383865099127
682,3255,0,3611,12.8,20.4,0,0,1009.1,148.356,1.0334735337208247,1.0025950974874418,706.6580498348175,661.2540585571937,0.22185793253547995
662,3508,0,3616,12.6,17.7,0,0,1009.5,147.365,1.0404234354744115,1.0056476240733618,692.6501736157874,662.6983121902191,0.21998437676041008
665,3334,0,3608,12.9,17.1,0,0,1009.9,148.1,1.0352599565745217,1.0087094444595222,694.4438696188708,664.0358661960621,0.21826576510389206
625,3238,0,3610,12.8,16.5,0,0,1009.9,148.136,1.0350083677747925,1.0087094444595222,652.5141972931673,665.2689881418241,0.21669522575039266
616,3239,0,3612,12.7,16.1,0,0,1009.9,149.605,1.024845423406214,1.0087094444595222,636.8030947437951,666.3999455945745,0.21526637281963626
641,3304,0,3613,12.7,15.6,0,0,1009.7,150.402,1.019414632575941,1.0071773707749196,658.1347949444502,667.4310061214724,0.21397326275783526
658,3279,0,3613,12.5,14.1,0,0,1010,150.908,1.0159964983214056,1.009476355026413,674.8608827340703,668.364437289618,0.21281035500610057
630,3381,0,3615,12.5,13.2,0,0,1010.4,151.15,1.0143698284398721,1.0125498324644118,647.0729999015604,669.2025066661347,0.21177247643737435
621,3453,0,3616,12.5,12.3,0,0,1010.1,152.158,1.0076499399879513,1.0102438486668746,632.1607073125537,669.9474818181232,0.21085478912047326
667,3375,0,3617,12.6,11.8,0,0,1009.9,152.453,1.0057001145840794,1.0087094444595222,676.6442889846146,670.6016303127024,0.21005276102568152
661,3286,0,3618,12.5,11.2,0,0,1010,152.473,1.0055681961310308,1.009476355026413,670.979326775514,671.1672197169806,0.2093621393352931
667,3235,0,3618,12.5,13.6,0,0,1009.9,153.207,1.0007506156290944,1.0087094444595222,673.3142205550103,671.6465175980752,0.20877892606385048
632,3430,0,3608,12.6,18.5,0,0,1010,153.115,1.0013519222067508,1.009476355026413,638.8515679496727,672.0417915231027,0.20829935572900354
683,3445,0,3615,13.1,23.8,0,0,1010.3,153.335,0.9999152154999619,1.0117805869420635,690.9875508798715,672.3553090591721,0.2079198748448308
666,3293,0,3616,13.5,27,0,0,1010.3,153.504,0.9988143603338459,1.0117805869420635,673.046932509997,672.5893377734,0.2076371230363808
644,3251,0,3617,14,29.7,0,0,1010.1,153.714,0.9974498065803158,1.0102438486668746,648.9378902549128,672.7461452328992,0.20744791559764791
708,3315,0,3618,14.4,27.3,0,0,1010,154.117,0.9948415785973428,1.009476355026413,711.0224878185471,672.8279990047836,0.20734922733543648
657,3393,0,3608,14,28,0,0,1010.3,152.532,1.0051792382495912,1.0117805869420635,668.182691655403,672.8371666561661,0.20733817755942405
671,3205,0,3609,14.1,28.1,0,0,1009.3,152.963,1.00234696997762,1.0041202008205221,675.3459601672514,672.7759157541608,0.20741201609425575
676,3492,0,3608,13.9,28.8,0,0,1008.8,152.363,1.00629417620214,1.0003117846309573,680.466956124099,672.6465138658816,0.2075681102032023
665,3317,0,3616,14.3,27.5,0,0,1007.9,151.918,1.0092418249890511,0.9934929988564917,666.7786670410477,672.4512285584415,0.20780393232493513
670,3559,0,3618,14.3,27.4,0,0,1007.4,151.947,1.0090492051089306,0.9897248894030891,669.1163456622367,669.184483694509,0.21179473478544344
684,3363,0,3609,12.9,22.8,0,0,1007,151.319,1.013236933687684,0.9867206944292943,683.85078596752885,669.3180185153254,0.21162988351562823
651,3452,0,3611,13.3,20.8,0,0,1007.4,149.957,1.0224397631900257,0.9897248894030891,658.7690870855143,669.1508129449063,0.21183632535433836
652,3562,0,3617,12.7,19.9,0,0,1006.8,150.954,1.0156868951381657,0.9852220182561982,652.4414644693456,667.9632580256298,0.2133092621451474
660,3223,0,3618,12.8,19.4,0,0,1007.3,151.223,1.0138801608795398,0.9889729842472935,661.7820583269486,667.4044915485177,0.21400640307024413
716,3438,0,3609,13.1,19,0,0,1007.1,150.709,1.0173380459606702,0.9874708871942022,719.2876592199785,668.6137139543027,0.2125010339822158
669,3380,0,3609,12.9,18.4,0,0,1006.8,151.132,1.0144906410865115,0.9852220182561982,668.6645078149825,668.7380989107504,0.21234688223522613
708,3303,0,3612,12.8,17.8,0,0,1007.5,151.031,1.0151690683944796,0.9904773662240083,711.8954054758946,668.8701509699632,0.2121833699215065
676,3264,0,3610,12.5,17.4,0,0,1007.5,150.719,1.0172705469694376,0.9904773662240083,681.1264136192924,669.5315577076454,0.21136657284496194
676,3436,0,3612,12.9,16.9,0,0,1007.4,151.475,1.0121934284118612,0.9897248894030891,677.2120875968769,668.5686941359581,0.21255685944550065
669,3468,0,3612,12.7,15.7,0,0,1007,150.898,1.016063828338922,0.9867206944292943,670.7201370033728,668.1832891370327,0.21303546376744723
683,3299,0,3613,13,15.3,0,0,1006.3,151.007,1.0153304122900704,0.9814852788881658,680.6312555103167,668.2826061488904,0.21291201064865817
644,3302,0,3615,12.4,15,0,0,1005.7,150.959,1.0156532539874181,0.9770198948297045,639.049852393887,667.5366081633371,0.21384133077589398
634,3379,0,3615,12.7,14.4,0,0,1005.6,150.335,1.019868956455161,0.9762776418015117,631.2581146844248,666.5291526181909,0.21510383095473903
647,3480,0,3616,12.8,17.8,0,0,1006.4,151.054,1.0150144952711393,0.9822314912248913,645.0455432443683,666.7934311303889,0.21477181351779612
664,3325,0,3616,12.7,23.8,0,0,1006.8,151.327,1.0131833682600373,0.9852220182561982,662.8118137926691,665.4431283024826,0.21647449950015457
682,3345,0,3619,13.7,27.3,0,0,1006.6,150.309,1.020045370328368,0.983725618340492,684.3493281352316,664.9814918747946,0.21706020738543874
610,3391,0,3610,13.7,28.7,0,0,1006.7,150.593,1.018121689379232,0.9844735339823752,611.41145311604,663.1663570822813,0.21938119397813838
621,3342,0,3609,14.1,29,0,0,1006.8,150.399,1.0194349667796108,0.9852220182561982,623.7136305554116,662.5542327110514,0.22017044726802248
664,3438,0,3616,14.3,29,0,0,1006.8,150.988,1.0154581792505806,0.9852220182561982,664.299966525838,663.5605617224245,0.21887467363760896
